sentence,Sentiments,Bayes
"Bhabinkamtibmas carries out active monitoring of the cheap market in order to reduce inflation, the wise impact of orders to increase subsidy prices",Positif,Positif
"gin yahiko world crude oil prices are not one and only one benchmark for fuel prices, we weigh publications mops mean of platts sinagpore dollar exchange rate it's better to donlot to buy Pertamina subsidies",Negatif,Negatif
"One person doesn't understand the world of oil but hates to talk and attack people. If you mean the official subsidy price, of course the command price is not Pertamina.",Negatif,Positif
"Drun Drun, it's better to manage the prices of massage oils, just in order, your style is tengil, you know zero, government subsidized pricing, if it's non-subsidized, it always goes up and down according to the basic market, Kadrun is a curse",Negatif,Positif
"Do you know what it is? Eco-link mechanism, fixed price, there is a fixed average price, the government has just found the official price, large energy subsidies, targeted subsidies",Positif,Positif
"In the past, when SBY was horrified, every time he was wise, the criticism ended with him when food went up, prices went up, ugh, it's scary, now it's going up many times, the basic ingredient for cooking oil, what was the response? In the past, I was jealous, that's why there was such a fuss.",Negatif,Negatif
"ahy alas, when the price goes up, the world crude oil price goes down and down",Negatif,Netral
Bengkulu supports bbmbengkulu price adjustments,Positif,Positif
"Viral video of prices in Papua makes regional netizens insecure, wow",Positif,Positif
"Just go down in price, that's all",Netral,Netral
"all prices go up, the need for the lives of the little people goes up, all protests take office, ready for a new criminal code, jail",Negatif,Negatif
Get ready for the price of oil to rise,Positif,Positif
Minister of State-Owned Enterprises Erick Thohir initiates solar fishermen solution program fishermen's cooperatives synergy of post hook parties according to the price of care subsidies given to fishermen's wives with the PNM Mekaar program,Positif,Positif
Get ready for the price of oil to rise,Positif,Positif
"Min, now the position of the party leading the coalition or the opposition, if you talk about yourself, you're in cahoots, so prices and electricity will go up and you want to promise that it will go down, that's what the people tell you to believe, that's what it's honest, if the people believe, it means stupid.",Positif,Negatif
PKB's promise of free electricity and fertilizer prices are down,Positif,Positif
the people are satisfied with the order to increase the price of the people instead,Positif,Positif
Nexian Messenger level prices are ready to be an alternative,Positif,Positif
"NATO doesn't matter if the US is never full. The US is now experiencing an economic, political, economic crisis due to high prices. Democratic republican politics has become a frontal enemy for the Jews, which is the source of the US's money behind Israel.",Negatif,Negatif
"Is it true that it's just the price of kale going up on the market? Is it true that the price is going up and it's just the influence of kale, please help me explain what it means?",Positif,Positif
"The intention is, in reality, it's like the party you are leading is supporting price increases for many people",Positif,Positif
"Cak Imin's promise of free electricity, fertilizer, lower prices",Positif,Positif
"never imported rockets, the people's economy became more prosperous, cheap prices never increased, production of cheap esemka basic necessities, said Puja Pinokio",Positif,Positif
"Take note of PKB's promise of free electricity, price increases, military and police pension funds",Positif,Positif
Pertamina price leaks Pertalite Pertamax dansolar price,Netral,Netral
"You know that breaking promises has now become a trend for leaders, if the leader of the coalition party doesn't have bad intentions, don't order them to lower prices now",Positif,Negatif
umk low price is the same as buying porcelain,Negatif,Netral
Sakuing Amanah has lowered Pertamina prices,Negatif,Netral
"Cak Imin umbar promises to lower prices in front of Prabowo, I believe it",Positif,Positif
Pertalite's competition adds more price lists to all gas stations,Netral,Netral
"it's free for anyone, the price has dropped how many times, promise, everything will be delicious, people, enekk",Positif,Positif
able to raise prices,Netral,Netral
"If the price goes down, what is the impact on state money, if the state's receipts are not yet stable and increase in the post-Covid transition phase, what is the state's income, how to stabilize the price of staple goods, prosperous farmers can buy, what is the level of employment",Positif,Positif
Now join in the power of increasing electricity prices,Positif,Positif
